DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
SNP;SNP;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Stráovská;Stráovská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Stromová;Stromová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Svätoplukova;Svätoplukova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Školská;Školská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Tajovského;Tajovského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Textilná;Textilná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Topo¾ová;Topo¾ová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Trenèianska cesta;Trenèianska cesta;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Trnica;Trnica;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vajanského nábr.;Vajanského nábreie;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vodná nádr;Vodná nádr;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Vystrkov;Vystrkov;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Za kaštie¾om;Za kaštie¾om;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Za valy;Za valy;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Záfortòa;Záfortòa;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
itná;itná;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 04;Trhovište;Trhovište;okrem è. 241,248,249,273,275;Bánovce nad Ondavou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 04;Trhovište;Trhovište;èas Piesky;Bánovce nad Ondavou
Bánovce nad Ondavou;Bánovce nad Ondavou;072 05;Bracovce;Bracovce;è. 241,248,249,273,275;Bánovce nad Ondavou
29.augusta;29.augusta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
9.mája;9.mája;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Agátová;Agátová;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Achátová;Achátová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Akvamarínová;Akvamarínová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Alexandra Matušku;Alexandra Matušku;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Ametystová;Ametystová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Astrová;Astrová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Azalková;Azalková;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Bagarova;Bagarova;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Bakossova;Bakossova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Banícka;Banícka;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bazová;Bazová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bellušova;Bellušova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Bernolákova;Bernolákova;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Beskydská;Beskydská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Boèná;Boèná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Borievková;Borievková;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Borovicová;Borovicová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Boeny Nìmcovej;Boeny Nìmcovej;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Brestová ulica;Brestová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Brezová;Brezová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Bronzová;Bronzová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Buèinová;Buèinová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Buková;Buková;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Cementárenská cesta;Cementárenská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta k nemocnici;Cesta k nemocnici;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta k Smreèine;Cesta k Smreèine;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta na amfiteáter;Cesta na amfiteáter;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Cesta na štadión;Cesta na štadión;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Cintorínska;Cintorínska;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Cmárovo;Cmárovo;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Èerešòová;Èerešòová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Èeskoslovenskej armády;Èeskoslovenskej armády;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dedinská;Dedinská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Diamantová ulica;Diamantová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Dlhá ulica;Dlhá ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Dobšinského;Dobšinského;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dolná;Dolná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dolná Strieborná;Dolná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Drienková;Drienková;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Druby;Druby;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Drustevná;Drustevná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Dubová;Dubová;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Dúhová;Dúhová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Ïumbierska;Ïumbierska;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
F. Švantnera;F. Švantnera;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Fatranská;Fatranská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Figuša Bystrého;Figuša Bystrého;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Fraòa Krá¾a;Fraòa Krá¾a;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Garbanka;Garbanka;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Gaštanová;Gaštanová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Gerberová;Gerberová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Gerlachovská;Gerlachovská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Golianova;Golianova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Gorkého;Gorkého;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Harmanecká cesta;Harmanecká cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Haškova;Haškova;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Havranské;Havranské;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Heèkova;Heèkova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hlboká;Hlboká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Horná;Horná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Horná Strieborná;Horná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Horné záhrady;Horné záhrady;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hronská;Hronská;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hronské predmestie;Hronské predmestie;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hrušková;Hrušková;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hurbanova;Hurbanova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Hutná;Hutná;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Hviezdoslavova;Hviezdoslavova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Chabenecká;Chabenecká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Iliašska cesta;Iliašska cesta;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Inovecká;Inovecká;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Internátna;Internátna;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
J. Cikkera;J. Cikkera;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jabloòová;Jabloòová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jakuba Pribicera;Jakuba Pribicera;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Jakubská cesta;Jakubská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Bottu;Jána Bottu;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Chalupku;Jána Chalupku;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jána Móryho;Jána Móryho;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Janka Krá¾a;Janka Krá¾a;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jantárová ulica;Jantárová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jarabinová;Jarabinová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jarná;Jarná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jaseòová;Jaseòová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jaspisová ulica;Jaspisová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Javornícka;Javornícka;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Javorová;Javorová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jazmínová;Jazmínová;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Jed¾ová;Jed¾ová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Jegorovova;Jegorovova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jelšová;Jelšová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jesenná;Jesenná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Jesenského;Jesenského;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jilemnického;Jilemnického;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Jiráskova;Jiráskova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Jozefa Mistríka;Jozefa Mistríka;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
K lomu;K lomu;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kalinèiakova;Kalinèiakova;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
kapitána Jaroša;kapitána Jaroša;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
kapitána Nálepku;kapitána Nálepku;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Kapitulská;Kapitulská;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Karpatská;Karpatská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Katovná;Katovná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kláry Jarunkovej;Kláry Jarunkovej;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Klenová ulica;Klenová ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Kollárova;Kollárova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Komenského;Komenského;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kostiviarska cesta;Kostiviarska cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kovaèická ulica;Kovaèická;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Králická cesta;Králická cesta;976 34;Tajov;Tajov;1372/6;Banská Bystrica
Krá¾ovoho¾ská;Krá¾ovoho¾ská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Krátka;Krátka;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Kremnièka;Kremnièka;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Krivánska;Krivánska;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Krína;Krína;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kukuèínova;Kukuèínova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kuzmányho;Kuzmányho;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Kvetinová;Kvetinová;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Kyjevské námestie;Kyjevské námestie;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
¼aliová;¼aliová;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Laskomerská;Laskomerská;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Lazovná;Lazovná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Lesná;Lesná;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Letná;Letná;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Liesková ulica;Liesková ulica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Limbová;Limbová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Lipová;Lipová;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
Lúèièky;Lúèièky;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
¼uda Ondrejova;¼uda Ondrejova;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
¼upèianska;¼upèianska;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
M. Èulena;M. Èulena;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
M. Hattalu;M. Hattalu;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
M. M. Hodu;M. M. Hodu;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Magurská;Magurská;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Majerská cesta;Majerská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Malachitová;Malachitová;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Malachovská cesta;Malachovská cesta;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Marka Èulena;Marka Èulena;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Martina Rázusa;Martina Rázusa;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mateja Bela;Mateja Bela;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Medená;Medená;974 05;Banská Bystrica 5;Banská Bystrica 5;;Banská Bystrica
Medenı Hámor;Medenı Hámor;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mièinská cesta;Mièinská cesta;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mieru;Mieru;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mikuláša Kováèa;Mikuláša Kováèa;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mistríka;Mistríka;974 01;Banská Bystrica 1;Banská Bystrica 1;;Banská Bystrica
Mládenícka;Mládenícka;974 04;Banská Bystrica 4;Banská Bystrica 4;;Banská Bystrica
Mladıch budovate¾ov;Mladıch budovate¾ov;974 11;Banská Bystrica 11;Banská Bystrica 11;;Banská Bystrica
Mlynská;Mlynská;974 09;Banská Bystrica 9;Banská Bystrica 9;;Banská Bystrica
